id,symbol,seqnames,strand,TSS,type
ENSMUSG00000102135.1,Gm37108,chr1,+,6916559,processed_pseudogene
ENSMUSG00000103282.1,Gm37275,chr1,+,6929759,processed_pseudogene
ENSMUSG00000102534.1,Gm37225,chr1,+,6998217,processed_pseudogene
ENSMUSG00000102213.1,Gm37489,chr1,+,7013762,processed_pseudogene
ENSMUSG00000103629.1,Gm5694,chr1,+,7035915,processed_pseudogene
ENSMUSG00000051285.17,Pcmtd1,chr1,+,7088920,protein_coding
ENSMUSG00000098201.1,Gm26983,chr1,-,7136199,processed_pseudogene
ENSMUSG00000103509.1,Gm38372,chr1,+,7148110,TEC
ENSMUSG00000048538.7,Gm9826,chr1,+,7177739,processed_pseudogene
ENSMUSG00000103709.1,Nras-ps2,chr1,-,7189742,processed_pseudogene
ENSMUSG00000077244.1,Gm23274,chr1,+,7265803,snoRNA
ENSMUSG00000102768.1,Gm19002,chr1,+,7315451,processed_pseudogene
ENSMUSG00000097797.6,Gm26901,chr1,-,7349406,lincRNA
ENSMUSG00000103498.1,Gm18984,chr1,+,7410679,processed_pseudogene
ENSMUSG00000103067.1,Gm30414,chr1,+,7497968,lincRNA
ENSMUSG00000102320.1,Gm37791,chr1,+,7591646,processed_pseudogene
ENSMUSG00000104226.1,Gm7470,chr1,+,7597379,processed_pseudogene
ENSMUSG00000103903.1,Rps2-ps2,chr1,+,7664081,processed_pseudogene
ENSMUSG00000103557.1,Gm38216,chr1,-,7728861,processed_pseudogene
ENSMUSG00000025909.16,Sntg1,chr1,-,8361475,protein_coding
ENSMUSG00000102647.1,Gm38024,chr1,-,8450960,TEC
ENSMUSG00000086235.1,Gm16284,chr1,-,8468426,processed_pseudogene
ENSMUSG00000102253.1,Gm38259,chr1,-,8527780,TEC
ENSMUSG00000093970.1,Gm23358,chr1,-,8588615,miRNA
ENSMUSG00000103884.1,Gm37005,chr1,-,8643696,TEC
ENSMUSG00000084353.1,Gm15452,chr1,-,8791923,processed_pseudogene
ENSMUSG00000103933.1,Gm36964,chr1,+,8815842,processed_pseudogene
ENSMUSG00000076135.1,Gm24276,chr1,+,8816138,miRNA
ENSMUSG00000086195.1,Gm6152,chr1,-,8855928,processed_pseudogene
ENSMUSG00000104504.1,Gm7445,chr1,+,8856763,processed_pseudogene
ENSMUSG00000066693.2,Gm7493,chr1,-,8962996,processed_pseudogene
ENSMUSG00000102316.1,Gm37629,chr1,-,9191067,TEC
ENSMUSG00000103819.1,Gm38008,chr1,-,9258617,processed_pseudogene
ENSMUSG00000102871.1,Gm37143,chr1,+,9286922,TEC
ENSMUSG00000101571.2,Gm6187,chr1,-,9396773,processed_pseudogene
ENSMUSG00000104428.1,Gm18299,chr1,-,9439741,processed_pseudogene
ENSMUSG00000102272.1,Gm7512,chr1,+,9450579,processed_pseudogene
ENSMUSG00000065625.1,Gm24765,chr1,+,9458670,snRNA
ENSMUSG00000103411.1,Gm18300,chr1,-,9499338,processed_pseudogene
ENSMUSG00000061024.8,Rrs1,chr1,+,9545408,protein_coding
ENSMUSG00000025911.14,Adhfe1,chr1,+,9547948,protein_coding
ENSMUSG00000079671.8,2610203C22Rik,chr1,-,9560832,processed_transcript
ENSMUSG00000081441.3,Gm6161,chr1,+,9574548,processed_pseudogene
ENSMUSG00000067879.3,Vxn,chr1,+,9601199,protein_coding
ENSMUSG00000099827.1,Gm29520,chr1,-,9639255,lincRNA
ENSMUSG00000025912.16,Mybl1,chr1,-,9667415,protein_coding
ENSMUSG00000045210.8,Vcpip1,chr1,-,9718622,protein_coding
ENSMUSG00000097893.8,1700034P13Rik,chr1,+,9747648,antisense
ENSMUSG00000025915.14,Sgk3,chr1,+,9798107,protein_coding
ENSMUSG00000046334.4,Gm6195,chr1,-,9802197,processed_pseudogene
ENSMUSG00000088916.1,Gm22607,chr1,-,9834498,snRNA
ENSMUSG00000046101.16,Mcmdc2,chr1,+,9908638,protein_coding
ENSMUSG00000098234.7,Snhg6,chr1,-,9941959,lincRNA
ENSMUSG00000093178.1,Snord87,chr1,-,9942463,snoRNA
ENSMUSG00000099032.2,Tcf24,chr1,-,9960163,protein_coding
ENSMUSG00000104025.1,E330040D14Rik,chr1,+,9967314,TEC
ENSMUSG00000025916.10,Ppp1r42,chr1,-,9968624,protein_coding
ENSMUSG00000087199.1,Gm15818,chr1,+,9982387,antisense
ENSMUSG00000095780.1,Gm24674,chr1,-,10009814,snRNA
ENSMUSG00000025917.9,Cops5,chr1,-,10024601,protein_coding
ENSMUSG00000056763.16,Cspp1,chr1,+,10037987,protein_coding
ENSMUSG00000102356.1,1700047N06Rik,chr1,-,10057025,TEC
ENSMUSG00000067851.11,Arfgef1,chr1,-,10137571,protein_coding
ENSMUSG00000088153.1,Gm26348,chr1,+,10166539,misc_RNA
ENSMUSG00000102556.1,Gm37569,chr1,-,10197081,TEC
ENSMUSG00000042501.12,Cpa6,chr1,-,10324720,protein_coding
ENSMUSG00000103810.1,Gm38005,chr1,-,10449245,TEC
ENSMUSG00000083422.1,Gm15604,chr1,-,10554098,processed_pseudogene
ENSMUSG00000094979.1,Gm25253,chr1,-,10555554,snRNA
ENSMUSG00000081417.1,Gm15603,chr1,+,10695123,processed_pseudogene
ENSMUSG00000103448.1,Gm37133,chr1,-,10782456,TEC
ENSMUSG00000100212.1,Gm5522,chr1,+,10805281,processed_pseudogene
ENSMUSG00000100648.1,Gm28659,chr1,+,10868688,processed_pseudogene
ENSMUSG00000088585.1,Gm22963,chr1,+,10921670,snoRNA
ENSMUSG00000048960.13,Prex2,chr1,+,10993465,protein_coding
ENSMUSG00000077318.1,Gm24173,chr1,-,11134111,snoRNA
ENSMUSG00000101827.1,Gm28686,chr1,-,11223566,processed_pseudogene
ENSMUSG00000103494.1,Gm37410,chr1,-,11363926,TEC
ENSMUSG00000057715.13,A830018L16Rik,chr1,+,11414105,protein_coding
ENSMUSG00000103825.1,Gm38178,chr1,+,11416918,TEC
ENSMUSG00000099845.1,Gm29273,chr1,-,11608139,processed_pseudogene
ENSMUSG00000103561.1,Gm38069,chr1,+,11704207,TEC
ENSMUSG00000101610.1,Gm7560,chr1,+,12120960,processed_pseudogene
ENSMUSG00000093864.1,Gm22633,chr1,+,12374936,snRNA
ENSMUSG00000098555.1,Mir6341,chr1,+,12425986,miRNA
ENSMUSG00000097628.1,Gm2383,chr1,+,12565577,processed_pseudogene
ENSMUSG00000098163.1,Gm6216,chr1,+,12655867,processed_pseudogene
ENSMUSG00000097171.1,Gm17644,chr1,+,12667563,lincRNA
ENSMUSG00000101314.1,Gm29663,chr1,-,12670324,lincRNA
ENSMUSG00000016918.15,Sulf1,chr1,+,12692277,protein_coding
ENSMUSG00000025938.16,Slco5a1,chr1,-,12866549,protein_coding
ENSMUSG00000104518.1,Gm37162,chr1,-,13059401,TEC
ENSMUSG00000069620.6,Gm5250,chr1,+,13062025,processed_pseudogene
ENSMUSG00000099498.1,Gm29283,chr1,+,13068838,lincRNA
ENSMUSG00000042414.7,Prdm14,chr1,-,13113457,protein_coding
ENSMUSG00000005886.14,Ncoa2,chr1,-,13139105,protein_coding
ENSMUSG00000103506.1,Gm38376,chr1,-,13177462,TEC
ENSMUSG00000103495.1,Gm37409,chr1,-,13234809,TEC
ENSMUSG00000099183.1,Gm27881,chr1,+,13262198,miRNA
ENSMUSG00000102639.1,Gm38223,chr1,-,13289812,TEC
ENSMUSG00000104170.1,Gm37702,chr1,-,13297036,TEC
ENSMUSG00000087782.1,Gm23169,chr1,-,13334498,snRNA
ENSMUSG00000103085.1,Gm38120,chr1,-,13343563,TEC
ENSMUSG00000102664.1,Gm38380,chr1,-,13354483,TEC
ENSMUSG00000101476.1,Gm29570,chr1,+,13376070,antisense
ENSMUSG00000101171.1,Gm7593,chr1,-,13407012,processed_pseudogene
ENSMUSG00000025935.10,Tram1,chr1,-,13564698,protein_coding
ENSMUSG00000025937.6,Lactb2,chr1,-,13623330,protein_coding
ENSMUSG00000102982.1,Gm38319,chr1,-,13641483,TEC
ENSMUSG00000067813.3,Xkr9,chr1,+,13668771,protein_coding
ENSMUSG00000077368.1,Gm26273,chr1,-,13774334,snoRNA
ENSMUSG00000097711.1,Gm5523,chr1,-,13785883,processed_pseudogene
ENSMUSG00000102166.1,Gm36947,chr1,-,13846871,TEC
ENSMUSG00000089358.1,Gm25491,chr1,+,13932378,misc_RNA
ENSMUSG00000104209.1,Gm37400,chr1,-,14109215,TEC
ENSMUSG00000025932.14,Eya1,chr1,-,14168954,protein_coding
ENSMUSG00000095853.1,Gm22616,chr1,+,14182578,miRNA
ENSMUSG00000102588.1,Gm37444,chr1,-,14255552,TEC
ENSMUSG00000054493.2,Gm9947,chr1,+,14752937,antisense
ENSMUSG00000025930.6,Msc,chr1,-,14753346,protein_coding
ENSMUSG00000103492.1,Gm37412,chr1,+,14788645,TEC
ENSMUSG00000081201.1,Smt3h2-ps4,chr1,-,14839869,processed_pseudogene
ENSMUSG00000082193.1,Rpl5-ps1,chr1,+,14865072,processed_pseudogene
ENSMUSG00000032769.5,Trpa1,chr1,-,14872648,protein_coding
ENSMUSG00000088159.1,Gm26345,chr1,-,15019040,snoRNA
ENSMUSG00000073737.3,Gm10566,chr1,-,15268802,processed_pseudogene
ENSMUSG00000092083.4,Kcnb2,chr1,+,15287254,protein_coding
ENSMUSG00000102937.1,Gm38116,chr1,+,15364302,TEC
ENSMUSG00000104149.1,Gm37138,chr1,+,15556249,TEC
ENSMUSG00000088829.1,Gm25227,chr1,-,15685935,snoRNA
ENSMUSG00000077377.1,Gm25168,chr1,+,15757832,snoRNA
ENSMUSG00000101652.1,Gm6060,chr1,-,15760122,processed_pseudogene
ENSMUSG00000100814.1,Gm28669,chr1,+,15760761,processed_pseudogene
ENSMUSG00000025925.14,Terf1,chr1,+,15805646,protein_coding
ENSMUSG00000104379.1,Gm37509,chr1,+,15853331,TEC
ENSMUSG00000032719.4,Sbspon,chr1,-,15853862,protein_coding
ENSMUSG00000088943.1,Gm23259,chr1,+,15879530,misc_RNA
ENSMUSG00000100652.1,Gm7634,chr1,+,16053335,processed_pseudogene
ENSMUSG00000067795.13,4930444P10Rik,chr1,-,16065979,protein_coding
ENSMUSG00000043716.13,Rpl7,chr1,-,16101295,protein_coding
ENSMUSG00000025921.7,Rdh10,chr1,+,16105774,protein_coding
ENSMUSG00000104165.1,Gm38249,chr1,-,16208197,TEC
ENSMUSG00000100868.1,Gm28095,chr1,+,16228506,antisense
ENSMUSG00000025920.19,Stau2,chr1,-,16228674,protein_coding
ENSMUSG00000089982.7,Gm7568,chr1,+,16253592,antisense
ENSMUSG00000025939.18,Ube2w,chr1,-,16540790,protein_coding
ENSMUSG00000102457.1,Gm38342,chr1,+,16618560,TEC
ENSMUSG00000079658.9,Eloc,chr1,-,16641725,protein_coding
ENSMUSG00000097744.1,D030040B21Rik,chr1,+,16657552,lincRNA
ENSMUSG00000100959.1,Gm7654,chr1,-,16662980,processed_pseudogene
ENSMUSG00000025940.6,Tmem70,chr1,+,16665207,protein_coding
ENSMUSG00000025779.10,Ly96,chr1,+,16688051,protein_coding
ENSMUSG00000100093.1,Gm29649,chr1,-,16758205,processed_pseudogene
ENSMUSG00000091020.3,Gm5828,chr1,-,16768279,processed_pseudogene
ENSMUSG00000101640.1,Gm28376,chr1,+,16898185,antisense
ENSMUSG00000104133.1,4921511E07Rik,chr1,+,16930970,TEC
ENSMUSG00000042686.5,Jph1,chr1,-,16964560,protein_coding
ENSMUSG00000100110.1,Gm28783,chr1,+,17124747,lincRNA
ENSMUSG00000025777.8,Gdap1,chr1,+,17145362,protein_coding
ENSMUSG00000099899.1,Gm28784,chr1,+,17168403,lincRNA
ENSMUSG00000100272.1,Gm28785,chr1,-,17250114,processed_pseudogene
ENSMUSG00000100398.1,Gm5251,chr1,+,17394958,processed_pseudogene
ENSMUSG00000101589.1,Rbm6-ps1,chr1,-,17397412,processed_pseudogene
ENSMUSG00000102048.1,Gm6075,chr1,-,17429043,processed_pseudogene
ENSMUSG00000089534.1,Gm25166,chr1,+,17520001,snoRNA
ENSMUSG00000067780.3,Pi15,chr1,+,17601901,protein_coding
ENSMUSG00000100053.1,Gm28154,chr1,-,17615084,antisense
ENSMUSG00000085125.7,Gm16070,chr1,-,17676027,antisense
ENSMUSG00000025776.13,Crispld1,chr1,+,17727045,protein_coding
ENSMUSG00000099895.1,Gm28153,chr1,-,17741915,antisense
ENSMUSG00000100554.1,Gm7690,chr1,+,17947041,processed_pseudogene
ENSMUSG00000099473.1,Gm18775,chr1,-,17993010,transcribed_unprocessed_pseudogene
ENSMUSG00000099591.1,Gm17969,chr1,+,17993813,processed_pseudogene
ENSMUSG00000109887.1,Gm28756,chr1,-,17994462,processed_transcript
ENSMUSG00000102001.1,Gm28755,chr1,-,18005961,unprocessed_pseudogene
ENSMUSG00000101717.2,Gm45784,chr1,-,18048100,transcribed_unprocessed_pseudogene
ENSMUSG00000025774.14,Crisp4,chr1,-,18115191,protein_coding
ENSMUSG00000070977.4,Defb44-ps,chr1,-,18210053,unprocessed_pseudogene
ENSMUSG00000073735.1,Defb18,chr1,-,18236473,protein_coding
ENSMUSG00000067773.6,Defb41,chr1,-,18250980,protein_coding
ENSMUSG00000101685.1,Gm17837,chr1,-,18262395,processed_pseudogene
ENSMUSG00000101306.1,Gm5252,chr1,+,18708428,processed_pseudogene
ENSMUSG00000088800.1,Gm24075,chr1,-,18969762,snoRNA
ENSMUSG00000101644.1,Gm28343,chr1,+,19037266,processed_pseudogene
ENSMUSG00000099433.1,Gm28344,chr1,+,19062857,processed_pseudogene
ENSMUSG00000089787.2,Gm15825,chr1,-,19063300,antisense
ENSMUSG00000042596.7,Tfap2d,chr1,+,19103022,protein_coding
ENSMUSG00000100720.1,Gm10075,chr1,-,19153422,processed_pseudogene
ENSMUSG00000025927.13,Tfap2b,chr1,+,19208914,protein_coding
ENSMUSG00000100538.1,Gm28340,chr1,+,19242725,lincRNA
ENSMUSG00000101117.1,Gm28341,chr1,-,19320226,processed_pseudogene
ENSMUSG00000100204.1,Gm4849,chr1,+,19330939,processed_pseudogene
ENSMUSG00000084668.1,Gm24633,chr1,-,19513855,snoRNA
ENSMUSG00000102597.1,Gm38382,chr1,+,19614269,TEC
ENSMUSG00000043760.16,Pkhd1,chr1,-,20057779,protein_coding
ENSMUSG00000104095.1,Gm37315,chr1,-,20062070,TEC
ENSMUSG00000089914.2,4930486I03Rik,chr1,+,20356452,antisense
ENSMUSG00000090142.2,Gm15795,chr1,-,20444258,processed_pseudogene
ENSMUSG00000070175.1,Gm24162,chr1,-,20444811,snRNA
ENSMUSG00000099906.2,Gm28653,chr1,+,20669882,lincRNA
ENSMUSG00000065559.1,Mir206,chr1,+,20679010,miRNA
ENSMUSG00000065480.1,Mir133b,chr1,+,20682769,miRNA
ENSMUSG00000025929.4,Il17a,chr1,+,20730905,protein_coding
ENSMUSG00000041872.9,Il17f,chr1,-,20777146,protein_coding
ENSMUSG00000041859.10,Mcm3,chr1,-,20802968,protein_coding
ENSMUSG00000099714.1,Gm20587,chr1,+,20821331,processed_pseudogene
ENSMUSG00000102121.1,Gm28065,chr1,+,20836661,lincRNA
ENSMUSG00000088858.1,Gm24723,chr1,-,20842535,snoRNA
ENSMUSG00000097934.1,6720483E21Rik,chr1,-,20888650,lincRNA
ENSMUSG00000025931.15,Paqr8,chr1,+,20890606,protein_coding
ENSMUSG00000077314.1,Gm24171,chr1,-,20915410,snoRNA
ENSMUSG00000100929.1,Gm28064,chr1,+,20945711,processed_pseudogene
ENSMUSG00000041809.5,Efhc1,chr1,+,20951626,protein_coding
ENSMUSG00000041779.5,Tram2,chr1,-,20996299,protein_coding
ENSMUSG00000099971.1,Gm28287,chr1,+,21080114,antisense
ENSMUSG00000100819.1,Gm2693,chr1,+,21178988,unprocessed_pseudogene
ENSMUSG00000025933.15,Tmem14a,chr1,+,21218575,protein_coding
ENSMUSG00000102633.1,Gm38224,chr1,+,21234722,TEC
ENSMUSG00000025934.15,Gsta3,chr1,+,21240589,protein_coding
ENSMUSG00000099343.1,Gm28836,chr1,-,21250359,antisense
ENSMUSG00000096375.2,Gm7094,chr1,+,21272403,unprocessed_pseudogene
ENSMUSG00000025936.15,Gm4956,chr1,-,21285246,transcribed_unprocessed_pseudogene
ENSMUSG00000093963.1,Gm21909,chr1,-,21312517,unprocessed_pseudogene
ENSMUSG00000067750.3,Khdc1a,chr1,+,21349641,protein_coding
ENSMUSG00000086194.1,Gm16329,chr1,+,21354005,unprocessed_pseudogene
ENSMUSG00000094436.1,Gm16327,chr1,+,21364803,processed_pseudogene
ENSMUSG00000041722.7,Khdc1c,chr1,+,21368331,protein_coding
ENSMUSG00000085507.1,Gm2709,chr1,+,21372670,unprocessed_pseudogene
ENSMUSG00000094926.1,Gm16533,chr1,+,21379555,processed_pseudogene
ENSMUSG00000085079.3,Khdc1b,chr1,+,21383556,protein_coding
ENSMUSG00000085679.2,Gm16328,chr1,+,21390906,processed_pseudogene
ENSMUSG00000028033.16,Kcnq5,chr1,-,21398403,protein_coding
ENSMUSG00000104138.1,Gm36949,chr1,-,21454691,TEC
ENSMUSG00000082935.3,Gm7658,chr1,-,21511933,processed_pseudogene
ENSMUSG00000103748.1,Gm38243,chr1,-,21838948,TEC
ENSMUSG00000097109.1,Gm26580,chr1,+,21959842,lincRNA
ENSMUSG00000099692.1,Gm5696,chr1,-,22030064,processed_pseudogene
ENSMUSG00000100418.1,Gm28239,chr1,+,22237849,processed_pseudogene
ENSMUSG00000041670.16,Rims1,chr1,-,22286251,protein_coding
ENSMUSG00000097642.1,Gm26866,chr1,+,22740764,processed_pseudogene
ENSMUSG00000101468.1,Gm7761,chr1,-,22984863,processed_pseudogene
ENSMUSG00000101227.1,Gm29506,chr1,-,23048295,sense_overlapping
ENSMUSG00000073730.2,4933415F23Rik,chr1,-,23100473,protein_coding
ENSMUSG00000089553.1,Gm24176,chr1,+,23245211,snoRNA
ENSMUSG00000102766.1,Gm6420,chr1,-,23255685,TEC
ENSMUSG00000065405.3,Mir30a,chr1,+,23272269,miRNA
ENSMUSG00000097970.1,Gm27028,chr1,+,23291537,lincRNA
ENSMUSG00000065567.1,Mir30c-2,chr1,+,23291701,miRNA
ENSMUSG00000100775.1,Gm29107,chr1,+,23293729,lincRNA
ENSMUSG00000101226.1,Gm20954,chr1,-,23345956,processed_pseudogene
ENSMUSG00000026158.11,Ogfrl1,chr1,-,23366424,protein_coding
ENSMUSG00000097920.1,Gm7784,chr1,+,23479539,processed_pseudogene
ENSMUSG00000099503.1,Gm28822,chr1,+,23574587,lincRNA
ENSMUSG00000026156.8,B3gat2,chr1,+,23761753,protein_coding
ENSMUSG00000026155.13,Smap1,chr1,-,23844846,protein_coding
ENSMUSG00000026154.4,Sdhaf4,chr1,-,23995939,protein_coding
ENSMUSG00000102495.1,Gm26524,chr1,+,24005505,TEC
ENSMUSG00000026153.15,Fam135a,chr1,-,24011093,protein_coding
ENSMUSG00000102398.1,Gm37580,chr1,+,24100625,TEC
ENSMUSG00000097670.1,Gm26607,chr1,+,24125275,processed_pseudogene
ENSMUSG00000026147.16,Col9a1,chr1,+,24177610,protein_coding
ENSMUSG00000026141.13,Col19a1,chr1,-,24261890,protein_coding
ENSMUSG00000077463.1,Gm26418,chr1,-,24548841,snoRNA
ENSMUSG00000099997.1,Tubb4b-ps2,chr1,-,24594087,processed_pseudogene
ENSMUSG00000100131.1,Gm28439,chr1,-,24611535,unprocessed_pseudogene
ENSMUSG00000067736.2,Gm10222,chr1,-,24612407,unprocessed_pseudogene
ENSMUSG00000101939.1,Gm28438,chr1,-,24612775,unprocessed_pseudogene
ENSMUSG00000101111.1,Gm28437,chr1,-,24613189,unprocessed_pseudogene
ENSMUSG00000100862.1,Gm10925,chr1,-,24613974,unprocessed_pseudogene
ENSMUSG00000102070.1,Gm28661,chr1,-,24614885,unprocessed_pseudogene
ENSMUSG00000101249.1,Gm29216,chr1,-,24615706,unprocessed_pseudogene
ENSMUSG00000073725.8,Lmbrd1,chr1,+,24678630,protein_coding
ENSMUSG00000100808.1,Gm28594,chr1,-,24910461,processed_pseudogene
ENSMUSG00000100483.1,Gm28237,chr1,-,24963209,lincRNA
ENSMUSG00000100450.1,Gm9443,chr1,+,25011941,processed_pseudogene
ENSMUSG00000099392.1,Gm29414,chr1,-,25026581,lincRNA
ENSMUSG00000033569.17,Adgrb3,chr1,-,25067476,protein_coding
ENSMUSG00000080849.1,Gm15702,chr1,+,25223730,processed_pseudogene
ENSMUSG00000104257.1,Gm20172,chr1,-,25276404,TEC
ENSMUSG00000096866.1,Gm22260,chr1,-,25279445,snRNA
ENSMUSG00000102296.1,Gm37543,chr1,-,25284218,TEC
ENSMUSG00000103209.1,Gm37331,chr1,-,25296512,TEC
ENSMUSG00000104027.1,Gm37211,chr1,-,25314276,TEC
ENSMUSG00000102407.1,Gm37862,chr1,-,25325866,TEC
ENSMUSG00000103214.1,Gm38286,chr1,-,25345978,TEC
ENSMUSG00000104100.1,Gm37880,chr1,-,25362564,TEC
ENSMUSG00000084740.1,Gm25294,chr1,+,25451071,snRNA
ENSMUSG00000103889.1,Gm37011,chr1,-,25608250,TEC
ENSMUSG00000101301.1,Gm29214,chr1,-,25614946,processed_pseudogene
ENSMUSG00000104221.1,Gm37051,chr1,-,25620238,TEC
ENSMUSG00000102250.1,Gm38260,chr1,-,25672245,TEC
ENSMUSG00000102317.1,Gm37628,chr1,-,25686062,TEC
ENSMUSG00000103563.1,8030445P17Rik,chr1,-,25722038,TEC
ENSMUSG00000102465.1,Gm38198,chr1,-,25735389,TEC
ENSMUSG00000102659.1,Gm37077,chr1,-,25755343,TEC
ENSMUSG00000103924.1,Gm37895,chr1,-,25775757,TEC
ENSMUSG00000104132.1,Gm36952,chr1,-,25797281,TEC
ENSMUSG00000102747.1,Gm37602,chr1,-,25804097,TEC
ENSMUSG00000102386.1,2900022M07Rik,chr1,-,25808956,TEC
ENSMUSG00000103004.1,2900002M20Rik,chr1,-,25824390,TEC
ENSMUSG00000104516.1,Gm9884,chr1,+,25830657,TEC
ENSMUSG00000101618.1,Gm18443,chr1,-,25996604,processed_pseudogene
ENSMUSG00000099458.1,Gm19123,chr1,+,26466236,processed_pseudogene
ENSMUSG00000088111.1,Gm24064,chr1,+,26566833,snoRNA
ENSMUSG00000073722.3,4931408C20Rik,chr1,-,26681814,protein_coding
ENSMUSG00000095256.1,n-R5s209,chr1,-,26959103,rRNA
ENSMUSG00000100310.1,Gm19641,chr1,-,27336352,processed_pseudogene
ENSMUSG00000101514.1,Gm5524,chr1,+,27884046,lincRNA
ENSMUSG00000101033.1,Gm18776,chr1,-,27900419,processed_pseudogene
ENSMUSG00000101372.1,Gm19028,chr1,+,27989910,processed_pseudogene
ENSMUSG00000103241.1,Gm38089,chr1,+,28569918,TEC
ENSMUSG00000086240.4,Gm7846,chr1,-,28580499,processed_pseudogene
ENSMUSG00000048411.4,Gm597,chr1,-,28776117,protein_coding
ENSMUSG00000081557.2,Gm5697,chr1,-,28800240,processed_pseudogene
ENSMUSG00000058590.2,Gm6462,chr1,+,28938036,processed_pseudogene
ENSMUSG00000101235.1,Gm18033,chr1,+,29219700,processed_pseudogene
